Date,SP500,NDX
1990-01-02,359.69,227.725
1990-01-03,358.76,226.1
1990-01-04,355.67,224.715
1990-01-05,352.2,223.14
1990-01-08,353.79,223.54
1990-01-09,349.62,221.18
1990-01-10,347.31,216.555
1990-01-11,348.53,213.505
1990-01-12,339.93,208.795
1990-01-15,337.0,207.615
1990-01-16,340.75,211.915
1990-01-17,337.4,210.605
1990-01-18,338.19,210.57
1990-01-19,339.15,213.91
1990-01-22,330.38,208.06
1990-01-23,331.61,207.48
1990-01-24,330.26,206.745
1990-01-25,326.08,205.775
1990-01-26,325.8,203.245
1990-01-29,325.2,202.055
1990-01-30,322.98,197.655
1990-01-31,329.08,201.94
1990-02-01,328.79,203.045
1990-02-02,330.92,205.615
1990-02-05,331.85,206.49
1990-02-06,329.66,205.075
1990-02-07,333.75,206.805
1990-02-08,332.96,207.245
1990-02-09,333.62,208.495
1990-02-12,330.08,206.88
1990-02-13,331.02,207.2
1990-02-14,332.01,208.06
1990-02-15,334.89,209.93
1990-02-16,332.72,208.355
1990-02-20,327.99,205.065
1990-02-21,327.67,204.75
1990-02-22,325.7,204.19
1990-02-23,324.15,201.795
1990-02-26,328.67,204.625
1990-02-27,330.26,205.785
1990-02-28,331.89,207.915
1990-03-01,332.74,209.105
1990-03-02,335.54,211.54
1990-03-05,333.74,210.39
1990-03-06,337.93,210.96
1990-03-07,336.95,210.155
1990-03-08,340.27,213.11
1990-03-09,337.93,213.82
1990-03-12,338.67,213.525
1990-03-13,336.0,211.51
1990-03-14,336.87,212.305
1990-03-15,338.07,213.48
1990-03-16,341.91,217.96
1990-03-19,343.53,219.87
1990-03-20,341.57,216.925
1990-03-21,339.74,215.85
1990-03-22,335.69,212.54
1990-03-23,337.22,214.49
1990-03-26,337.63,216.435
1990-03-27,341.5,217.47
1990-03-28,342.0,214.23
1990-03-29,340.79,213.11
1990-03-30,339.94,213.145
1990-04-02,338.7,212.67
1990-04-03,343.64,216.81
1990-04-04,341.09,215.48
1990-04-05,340.73,214.06
1990-04-06,340.08,212.475
1990-04-09,341.37,212.115
1990-04-10,342.07,213.225
1990-04-11,341.92,214.525
1990-04-12,344.34,216.045
1990-04-16,344.74,216.925
1990-04-17,344.68,216.5
1990-04-18,340.72,213.145
1990-04-19,338.09,210.87
1990-04-20,335.12,208.62
1990-04-23,331.05,205.63
1990-04-24,330.36,204.76
1990-04-25,332.03,205.58
1990-04-26,332.92,205.785
1990-04-27,329.11,203.67
1990-04-30,330.8,205.815
1990-05-01,332.25,207.04
1990-05-02,334.48,208.5
1990-05-03,335.57,210.09
1990-05-04,338.39,212.705
1990-05-07,340.53,215.03
1990-05-08,342.01,215.17
1990-05-09,342.86,215.43
1990-05-10,343.82,216.81
1990-05-11,352.0,220.89
1990-05-14,354.75,223.86
1990-05-15,354.28,224.49
1990-05-16,354.0,225.125
1990-05-17,354.47,226.64
1990-05-18,354.64,228.51
1990-05-21,358.0,232.215
1990-05-22,358.43,232.845
1990-05-23,359.29,236.06
1990-05-24,358.41,237.035
1990-05-25,354.58,232.2
1990-05-29,360.65,235.84
1990-05-30,360.86,236.355
1990-05-31,361.23,236.15
1990-06-01,363.16,237.885
1990-06-04,367.4,240.11
1990-06-05,366.64,237.845
1990-06-06,364.96,238.055
1990-06-07,363.15,237.385
1990-06-08,358.71,234.73
1990-06-11,361.63,236.95
1990-06-12,366.25,240.11
1990-06-13,364.9,242.055
1990-06-14,362.9,240.515
1990-06-15,362.91,240.785
1990-06-18,356.88,236.71
1990-06-19,358.47,236.775
1990-06-20,359.1,237.315
1990-06-21,360.47,238.145
1990-06-22,355.43,235.74
1990-06-25,352.31,232.915
1990-06-26,352.06,232.94
1990-06-27,355.14,234.95
1990-06-28,357.63,237.415
1990-06-29,358.02,238.46
1990-07-02,359.54,238.42
1990-07-03,360.16,238.185
1990-07-05,355.68,237.3
1990-07-06,358.42,238.465
1990-07-09,359.52,239.6
1990-07-10,356.49,238.66
1990-07-11,361.23,240.775
1990-07-12,365.44,243.425
1990-07-13,367.31,244.74
1990-07-16,368.95,246.18
1990-07-17,367.52,241.525
1990-07-18,364.22,238.0
1990-07-19,365.32,236.4
1990-07-20,361.61,232.44
1990-07-23,355.31,227.38
1990-07-24,355.79,226.485
1990-07-25,357.09,228.765
1990-07-26,355.91,227.2
1990-07-27,353.44,225.635
1990-07-30,355.55,223.92
1990-07-31,356.15,223.385
1990-08-01,355.52,223.115
1990-08-02,351.48,218.97
1990-08-03,344.86,212.605
1990-08-06,334.43,201.455
1990-08-07,334.83,202.655
1990-08-08,338.35,205.58
1990-08-09,339.94,209.125
1990-08-10,335.52,206.23
1990-08-13,338.84,207.42
1990-08-14,339.39,208.295
1990-08-15,340.06,208.465
1990-08-16,332.39,202.19
1990-08-17,327.83,196.845
1990-08-20,328.51,193.1
1990-08-21,321.86,188.255
1990-08-22,316.55,185.015
1990-08-23,307.06,178.295
1990-08-24,311.51,184.965
1990-08-27,321.44,193.975
1990-08-28,321.34,194.905
1990-08-29,324.19,192.905
1990-08-30,318.71,190.725
1990-08-31,322.56,193.615
1990-09-04,323.09,194.745
1990-09-05,324.39,193.815
1990-09-06,320.46,190.67
1990-09-07,323.4,191.8
1990-09-10,321.63,192.65
1990-09-11,321.04,190.965
1990-09-12,322.54,192.355
1990-09-13,318.65,189.72
1990-09-14,316.83,189.52
1990-09-17,317.77,189.605
1990-09-18,318.6,189.43
1990-09-19,316.6,188.775
1990-09-20,311.48,183.98
1990-09-21,311.32,183.2
1990-09-24,304.59,177.605
1990-09-25,308.26,180.71
1990-09-26,305.06,179.455
1990-09-27,300.97,174.19
1990-09-28,306.05,177.055
1990-10-01,314.94,184.735
1990-10-02,315.21,184.92
1990-10-03,311.4,180.505
1990-10-04,312.69,179.495
1990-10-05,311.5,178.365
1990-10-08,313.48,179.565
1990-10-09,305.1,173.625
1990-10-10,300.39,169.465
1990-10-11,295.46,165.195
1990-10-12,300.03,166.715
1990-10-15,303.23,169.35
1990-10-16,298.92,165.49
1990-10-17,298.76,167.27
1990-10-18,305.74,172.38
1990-10-19,312.48,174.62
1990-10-22,314.76,178.565
1990-10-23,312.36,178.4
1990-10-24,312.6,178.47
1990-10-25,310.17,177.34
1990-10-26,304.71,174.21
1990-10-29,301.88,171.755
1990-10-30,304.06,172.995
1990-10-31,304.0,172.555
1990-11-01,307.02,172.885
1990-11-02,311.85,176.865
1990-11-05,314.59,180.46
1990-11-06,311.62,180.26
1990-11-07,306.01,177.08
1990-11-08,307.61,177.705
