Date,NDX
1985-09-25,111.175
1985-09-26,110.64
1985-09-27,110.64
1985-09-30,110.62
1985-10-01,112.14
1985-10-02,110.84
1985-10-03,110.87
1985-10-04,110.075
1985-10-07,108.2
1985-10-08,107.16
1985-10-09,108.63
1985-10-10,109.435
1985-10-11,111.05
1985-10-14,113.185
1985-10-15,113.38
1985-10-16,114.315
1985-10-17,114.74
1985-10-18,114.32
1985-10-21,113.68
1985-10-22,114.44
1985-10-23,115.065
1985-10-24,115.485
1985-10-25,113.91
1985-10-28,113.82
1985-10-29,115.4
1985-10-30,115.77
1985-10-31,115.48
1985-11-01,116.275
1985-11-04,116.04
1985-11-05,116.44
1985-11-06,117.38
1985-11-07,117.62
1985-11-08,119.26
1985-11-11,120.4
1985-11-12,121.82
1985-11-13,121.165
1985-11-14,121.835
1985-11-15,122.175
1985-11-18,121.955
1985-11-19,122.57
1985-11-20,122.2
1985-11-21,123.61
1985-11-22,123.97
1985-11-25,123.135
1985-11-26,123.95
1985-11-27,125.77
1985-11-29,126.06
1985-12-02,125.185
1985-12-03,125.23
1985-12-04,127.94
1985-12-05,128.46
1985-12-06,126.955
1985-12-09,127.485
1985-12-10,127.975
1985-12-11,129.18
1985-12-12,129.765
1985-12-13,132.125
1985-12-16,132.61
1985-12-17,131.535
1985-12-18,131.14
1985-12-19,131.925
1985-12-20,132.26
1985-12-23,130.725
1985-12-24,130.03
1985-12-26,130.345
1985-12-27,131.485
1985-12-30,131.945
1985-12-31,132.295
1986-01-02,131.255
1986-01-03,130.55
1986-01-06,130.355
1986-01-07,132.79
1986-01-08,131.16
1986-01-09,128.8
1986-01-10,129.565
1986-01-13,129.095
1986-01-14,129.18
1986-01-15,131.535
1986-01-16,133.06
1986-01-17,132.77
1986-01-20,131.605
1986-01-21,131.09
1986-01-22,129.615
1986-01-23,129.27
1986-01-24,130.2
1986-01-27,130.795
1986-01-28,131.99
1986-01-29,133.06
1986-01-30,132.19
1986-01-31,132.925
1986-02-03,134.24
1986-02-04,134.6
1986-02-05,135.715
1986-02-06,136.64
1986-02-07,137.42
1986-02-10,138.125
1986-02-11,138.26
1986-02-12,138.665
1986-02-13,139.165
1986-02-14,140.16
1986-02-18,140.735
1986-02-19,139.64
1986-02-20,139.945
1986-02-21,141.145
1986-02-24,140.2
1986-02-25,139.4
1986-02-26,138.875
1986-02-27,140.525
1986-02-28,140.425
1986-03-03,139.74
1986-03-04,140.545
1986-03-05,140.245
1986-03-06,140.8
1986-03-07,140.71
1986-03-10,142.435
1986-03-11,145.345
1986-03-12,146.62
1986-03-13,147.01
1986-03-14,147
1986-03-17,146.365
1986-03-18,147.625
1986-03-19,147.475
1986-03-20,147.8
1986-03-21,148.005
1986-03-24,147.09
1986-03-25,147.485
1986-03-26,147.255
1986-03-27,148.375
1986-03-31,148.86
1986-04-01,148.45
1986-04-02,148.92
1986-04-03,148.71
1986-04-04,147.035
1986-04-07,146.055
1986-04-08,148.93
1986-04-09,149.055
1986-04-10,151.765
1986-04-11,152.665
1986-04-14,153.925
1986-04-15,154.92
1986-04-16,158.895
1986-04-17,159.055
1986-04-18,157.66
1986-04-21,158.525
1986-04-22,157.86
1986-04-23,157.46
1986-04-24,159.855
1986-04-25,160.46
1986-04-28,159.9
1986-04-29,158.25
1986-04-30,154.91
