Date,Open,High,Low,Close
2014-05-12,188.8,189.88,187.9992,189.785
2014-05-13,190.04,190.42,189.77,189.96
2014-05-14,189.79,189.88,188.79,189.06
2014-05-15,188.675,188.72,186.48,187.4
2014-05-16,187.51,188.13,186.72,188.05
2014-05-19,187.69,188.89,187.52,188.74
2014-05-20,188.645,188.67,187.07,187.55
2014-05-21,188.09,189.22,188.06,189.13
2014-05-22,189.18,189.98,188.86,189.59
2014-05-23,189.76,190.48,189.5858,190.35
2014-05-27,191.06,191.58,190.95,191.52
2014-05-28,191.52,191.82,191.06,191.38
2014-05-29,191.82,192.4,191.33,192.37
2014-05-30,192.19,192.8,192.03,192.68
2014-06-02,192.95,192.99,191.97,192.895
2014-06-03,192.43,192.9,192.25,192.8
2014-06-04,192.47,193.3,192.265,193.19
2014-06-05,193.41,194.65,192.7,194.45
2014-06-06,194.87,195.43,194.78,195.375
2014-06-09,195.35,196.05,195.17,195.58
2014-06-10,195.34,195.64,194.92,195.6
2014-06-11,194.9,195.12,194.48,194.92
2014-06-12,194.69,194.8,193.11,193.54
2014-06-13,193.92,194.32,193.3,194.13
2014-06-16,193.89,194.7,193.66,194.29
2014-06-17,194.02,194.97,193.81,194.83
2014-06-18,194.83,196.37,194.4,196.255
2014-06-19,196.43,196.6,195.8,196.48
2014-06-20,196.03,196.1039,195.7,195.94
2014-06-23,195.99,196.05,195.52,195.88
2014-06-24,195.53,196.5,194.48,194.7
2014-06-25,194.29,195.781,194.25,195.58
2014-06-26,195.61,195.63,194.13,195.44
2014-06-27,194.98,195.88,194.885,195.82
2014-06-30,195.7,196.165,195.53,195.72
2014-07-01,196.2,197.63,196.13,197.03
2014-07-02,197.05,197.48,196.96,197.23
2014-07-03,197.79,198.29,197.64,198.2
2014-07-07,197.82,197.98,197.22,197.51
2014-07-08,197.15,197.22,195.76,196.24
2014-07-09,196.73,197.295,196.31,197.12
2014-07-10,195.22,196.86,195.06,196.34
2014-07-11,196.22,196.75,195.78,196.61
2014-07-14,197.61,197.86,197.44,197.6
2014-07-15,197.72,198.1,196.36,197.23
2014-07-16,198.11,198.26,197.42,197.96
2014-07-17,197.35,198.1,195.43,195.71
2014-07-18,196.35,197.91,196.24,197.7099
2014-07-21,197.09,197.5,196.43,197.34
2014-07-22,198.01,198.56,197.87,198.2
2014-07-23,198.495,198.85,198.1,198.64
2014-07-24,198.83,199.06,198.45,198.65
2014-07-25,198.09,198.26,197.33,197.72
2014-07-28,197.76,198.09,196.62,197.8
2014-07-29,198.17,198.45,196.92,196.95
2014-07-30,197.65,197.91,196.16,196.98
2014-07-31,195.61,195.78,192.97,193.09
2014-08-01,192.56,193.76,191.57,192.5
2014-08-04,192.87,194.3,192.05,193.89
2014-08-05,193.1,193.6,191.31,192.01
2014-08-06,191.11,192.89,191.08,192.07
2014-08-07,192.935,193.13,190.55,191.03
2014-08-08,191.46,193.37,190.95,193.24
2014-08-11,193.965,194.66,193.71,193.795
2014-08-12,193.61,194.15,192.94,193.53
2014-08-13,194.29,195.06,193.96,194.84
2014-08-14,195.16,195.76,194.98,195.76
2014-08-15,196.47,196.65,194.31,195.72
2014-08-18,196.8,197.45,196.69,197.36
2014-08-19,197.84,198.54,197.4426,198.39
2014-08-20,198.12,199.16,198.08,198.92
2014-08-21,199.09,199.76,198.93,199.5
2014-08-22,199.34,199.69,198.74,199.19
2014-08-25,200.14,200.5949,199.1502,200.2
2014-08-26,200.33,200.82,200.28,200.33
2014-08-27,200.43,200.57,199.94,200.25
2014-08-28,199.59,200.27,199.39,200.14
2014-08-29,200.45,200.73,199.82,200.71
2014-09-02,200.97,200.995,199.86,200.61
2014-09-03,201.38,201.41,200.22,200.5
2014-09-04,200.84,201.58,199.66,200.2101
2014-09-05,200.17,201.19,199.41,201.11
2014-09-08,200.92,201.21,200,200.59
2014-09-09,200.41,200.55,198.91,199.32
2014-09-10,199.43,200.2,198.77,200.07
2014-09-11,199.27,200.33,199.12,200.3
2014-09-12,200.1,200.12,198.56,199.13
2014-09-15,199.16,199.32,198.38,198.981
2014-09-16,198.61,200.84,198.5,200.48
2014-09-17,200.77,201.68,199.75,200.75
2014-09-18,201.36,201.85,201.1,201.82
2014-09-19,201.52,201.899,200.29,200.7
2014-09-22,200.35,200.38,198.73,199.15
2014-09-23,198.43,199.26,197.95,198.01
2014-09-24,198.04,199.69,197.52,199.56
2014-09-25,199.04,199.05,196.27,196.34
2014-09-26,196.7,198.39,196.42,197.9
2014-09-29,196.2,197.89,196.05,197.54
2014-09-30,197.69,198.3,196.61,197.02
2014-10-01,196.7,196.77,193.91,194.35
2014-10-02,194.18,195.055,192.35,194.38
2014-10-03,195.68,196.94,195.08,196.52
2014-10-06,197.34,197.6,195.582,196.29
2014-10-07,195.28,195.72,193.22,193.26
2014-10-08,193.37,196.92,192.36,196.64
2014-10-09,196.33,196.6,192.58,192.74
2014-10-10,192.69,193.65,190.49,190.54
2014-10-13,190.46,191.15,187.3,187.4099
2014-10-14,188.42,189.82,187.04,187.7
2014-10-15,185.16,187.694,181.92,186.43
2014-10-16,183.06,187.58,182.89,186.27
2014-10-17,188.42,189.75,187.62,188.47
2014-10-20,188.13,190.45,188.07,190.3
2014-10-21,191.68,194.2,191.48,194.07
2014-10-22,194.41,194.91,192.61,192.69
2014-10-23,194.62,196.2,194.26,194.93
2014-10-24,195.25,196.49,194.49,196.43
2014-10-27,195.73,196.45,195.03,196.16
2014-10-28,196.82,198.42,196.73,198.41
2014-10-29,198.55,199.12,196.8,198.11
2014-10-30,197.58,199.95,197.4,199.38
2014-10-31,201.78,201.82,200.77,201.66
2014-11-03,201.92,202.45,201.305,201.77
2014-11-04,201.23,201.6,200.06,201.07
2014-11-05,202.54,202.59,201.45,202.34
2014-11-06,202.39,203.26,201.64,203.15
2014-11-07,203.17,203.5999,202.61,203.34
2014-11-10,203.38,204.04,203.13,203.98
2014-11-11,204.055,204.31,203.65,204.175
2014-11-12,203.35,204.24,203.31,203.96
2014-11-13,204.16,204.83,203.21,204.19
2014-11-14,204.1,204.49,203.72,204.24
2014-11-17,203.85,204.58,203.65,204.37
2014-11-18,204.44,205.92,204.44,205.55
2014-11-19,205.31,205.55,204.3,205.22
2014-11-20,204.26,205.71,204.18,205.58
2014-11-21,207.64,207.8445,205.98,206.68
2014-11-24,207.17,207.39,206.91,207.26
2014-11-25,207.54,207.79,206.8,207.11
2014-11-26,207.29,207.76,207.03,207.64
2014-11-28,207.49,207.87,206.91,207.2
2014-12-01,206.4,206.54,205.38,205.76
2014-12-02,205.81,207.34,205.782,207.085
2014-12-03,207.3,208.15,207.1,207.89
2014-12-04,207.54,208.265,206.7,207.66
2014-12-05,207.87,208.47,207.55,208
2014-12-08,207.52,208.12,205.93,206.61
2014-12-09,204.37,206.6,203.91,206.47
2014-12-10,205.91,205.98,202.93,203.1601
2014-12-11,203.88,206.19,203.71,204.19
2014-12-12,202.64,203.819,200.85,200.89
2014-12-15,201.98,202.53,198.78,199.51
2014-12-16,198.58,202.395,197.86,197.91
2014-12-17,198.44,202.34,198.29,201.79
2014-12-18,204.74,212.97,203.92,206.78
2014-12-19,206.43,207.33,205.6109,206.52
2014-12-22,206.75,207.47,206.46,207.47
2014-12-23,208.17,208.23,207.3991,207.75
2014-12-24,208.02,208.34,207.72,207.77
2014-12-26,208.31,208.85,208.25,208.44
2014-12-29,208.22,208.97,208.14,208.72
2014-12-30,208.21,208.37,207.51,207.6
2014-12-31,207.99,208.19,205.39,205.54
2015-01-02,206.38,206.88,204.18,205.43
2015-01-05,204.17,204.37,201.35,201.72
2015-01-06,202.09,202.72,198.855,199.82
2015-01-07,201.42,202.72,200.88,202.31
2015-01-08,204.01,206.16,203.99,205.9
2015-01-09,206.4,206.42,203.51,204.25
2015-01-12,204.41,204.6,201.92,202.65
2015-01-13,204.12,205.48,200.51,202.08
2015-01-14,199.65,201.1,198.57,200.86
2015-01-15,201.63,202.01,198.88,199.0199
2015-01-16,198.77,201.82,198.55,201.63
2015-01-20,202.4,202.72,200.17,202.055
2015-01-21,201.5,203.66,200.94,203.08
2015-01-22,203.99,206.26,202.33,206.1
2015-01-23,205.79,206.1,204.81,204.97
2015-01-26,204.71,205.56,203.85,205.45
