Date,SDS,SH,SPY,
2006-07-13,1175.68,140.36,124,
2006-07-14,1184,140.96,123.52,
2006-07-17,1192.8,141.4,123.34,
2006-07-18,1186.4,141,123.97,
2006-07-19,1145.6,138.52,125.69,
2006-07-20,1164.32,139.88,124.83,
2006-07-21,1179.52,140.78,123.95,
2006-07-24,1144,138.48,126.21,
2006-07-25,1129.92,137.78,126.66,
2006-07-26,1126.4,137.57,126.83,
2006-07-27,1141.92,138.4,126.71,
2006-07-28,1116.32,136.82,127.98,
2006-07-31,1117.12,136.84,127.85,
2006-08-01,1128.16,137.74,127.22,
2006-08-02,1115.04,136.9,128.08,
2006-08-03,1111.68,136.6,128.42,
2006-08-04,1113.28,136.88,128.2,
2006-08-07,1120.16,137.28,127.95,
2006-08-08,1130.08,137.88,127.41,
2006-08-09,1141.76,138.36,126.98,
2006-08-10,1132.16,137.9,127.37,
2006-08-11,1137.6,138.38,127.01,
2006-08-14,1136.32,138.1,127.11,
2006-08-15,1102.4,136.54,128.63,
2006-08-16,1089.92,135.5,129.79,
2006-08-17,1085.12,135.12,130.03,
2006-08-18,1077.76,134.8,130.69,
2006-08-21,1083.2,135.22,130.13,
2006-08-22,1084.96,135.22,130.12,
2006-08-23,1092.8,135.92,129.76,
2006-08-24,1091.36,135.6,129.65,
2006-08-25,1090.56,135.64,129.81,
2006-08-28,1080.96,135,130.43,
2006-08-29,1076.96,134.82,130.58,
2006-08-30,1076.32,134.82,130.66,
2006-08-31,1078.56,134.78,130.64,
2006-09-01,1068.16,134.2,131.42,
2006-09-05,1065.12,134.08,131.67,
2006-09-06,1084,135.48,130.51,
2006-09-07,1098.56,136.2,129.91,
2006-09-08,1089.28,135.62,130.28,
2006-09-11,1089.6,135.71,130.41,
2006-09-12,1067.2,134.22,131.69,
2006-09-13,1059.36,133.66,132.22,
2006-09-14,1067.04,134,132.23,
2006-09-15,1061.6,133.76,131.96,
2006-09-18,1056.48,133.56,132.14,
2006-09-19,1059.52,133.82,131.81,
2006-09-20,1055.2,133.16,132.51,
2006-09-21,1059.04,133.84,131.87,
2006-09-22,1068,134.36,131.47,
2006-09-25,1052.16,133.2,132.48,
2006-09-26,1035.2,132.16,133.58,
2006-09-27,1032.48,132.24,133.74,
2006-09-28,1029.44,132.14,133.69,
2006-09-29,1036.8,132.42,133.58,
2006-10-02,1044.8,133.04,133.08,
2006-10-03,1038.88,132.74,133.36,
2006-10-04,1016,131.28,134.92,
2006-10-05,1011.36,130.86,135.18,
2006-10-06,1012.8,131.1,135.01,
2006-10-09,1014.24,131.16,135.09,
2006-10-10,1010.56,131,135.27,
2006-10-11,1015.2,131.33,135.11,
2006-10-12,997.6,130.16,136.28,
2006-10-13,992,129.86,136.63,
2006-10-16,990.08,129.66,136.84,
2006-10-17,996.64,130.14,136.41,
2006-10-18,996.8,130.06,136.59,
2006-10-19,993.76,129.98,136.81,
2006-10-20,994.88,129.84,136.84,
2006-10-23,983.2,129.2,137.47,
2006-10-24,981.6,129.16,137.88,
2006-10-25,976,128.7,138.35,
2006-10-26,967.68,128.1,138.78,
2006-10-27,979.84,129,137.91,
2006-10-30,981.76,129.2,137.81,
2006-10-31,982.56,129.38,137.79,
2006-11-01,997.44,130.3,136.86,
2006-11-02,999.2,130.5,136.78,
2006-11-03,1004.16,130.56,136.54,
2006-11-06,983.2,129.32,138.08,
2006-11-07,977.28,128.92,138.61,
2006-11-08,971.52,128.72,138.91,
2006-11-09,982.4,129.36,138.18,
2006-11-10,979.52,129.16,138.24,
2006-11-13,974.72,128.86,138.58,
2006-11-14,962.24,128.06,139.62,
2006-11-15,956.32,127.66,140.02,
2006-11-16,954.56,127.48,140.38,
2006-11-17,958.4,127.44,140.42,
2006-11-20,954.4,127.56,140.5,
2006-11-21,952.16,127.42,140.64,
2006-11-22,947.84,127.04,140.92,
2006-11-24,957.12,127.6,140.35,
2006-11-27,983.2,129.4,138.42,
2006-11-28,977.6,129,139.02,
2006-11-29,959.2,127.84,140.47,
2006-11-30,956,127.8,140.53,
2006-12-01,961.44,128.26,140.22,
2006-12-04,947.2,127,141.29,
2006-12-05,938.72,126.42,141.9,
2006-12-06,940.48,126.66,141.78,
2006-12-07,948.8,127.18,141.16,
